Country,PopnF1960,PopnF1961,PopnF1962,PopnF1963,PopnF1964,PopnF1965,PopnF1966,PopnF1967,PopnF1968,PopnF1969,PopnF1970,PopnF1971,PopnF1972,PopnF1973,PopnF1974,PopnF1975,PopnF1976,PopnF1977,PopnF1978,PopnF1979,PopnF1980,PopnF1981,PopnF1982,PopnF1983,PopnF1984,PopnF1985,PopnF1986,PopnF1987,PopnF1988,PopnF1989,PopnF1990,PopnF1991,PopnF1992,PopnF1993,PopnF1994,PopnF1995,PopnF1996,PopnF1997,PopnF1998,PopnF1999,PopnF2000,PopnF2001,PopnF2002,PopnF2003,PopnF2004,PopnF2005,PopnF2006,PopnF2007,PopnF2008,PopnF2009,PopnF2010,PopnF2011,PopnF2012,PopnF2013,PopnF2014,PopnF2015,PopnM1960,PopnM1961,PopnM1962,PopnM1963,PopnM1964,PopnM1965,PopnM1966,PopnM1967,PopnM1968,PopnM1969,PopnM1970,PopnM1971,PopnM1972,PopnM1973,PopnM1974,PopnM1975,PopnM1976,PopnM1977,PopnM1978,PopnM1979,PopnM1980,PopnM1981,PopnM1982,PopnM1983,PopnM1984,PopnM1985,PopnM1986,PopnM1987,PopnM1988,PopnM1989,PopnM1990,PopnM1991,PopnM1992,PopnM1993,PopnM1994,PopnM1995,PopnM1996,PopnM1997,PopnM1998,PopnM1999,PopnM2000,PopnM2001,PopnM2002,PopnM2003,PopnM2004,PopnM2005,PopnM2006,PopnM2007,PopnM2008,PopnM2009,PopnM2010,PopnM2011,PopnM2012,PopnM2013,PopnM2014,PopnM2015
Afghanistan,4345080,4435529,4529983,4628579,4731490,4838873,4949274,5062444,5181009,5308586,5446879,5595074,5749227,5903746,6051313,6185229,6308745,6419817,6500733,6528666,6490190,6380009,6211607,6014262,5828373,5685892,5590758,5542383,5561743,5672457,5887736,6223544,6667654,7169869,7660474,8090080,8436451,8715393,8961870,9229388,9555403,9951674,10401435,10879644,11349112,11783622,12173857,12530225,12869864,13218613,13594574,14003200,14436536,14883188,15326085,15752858,4649713,4729416,4813789,4902976,4997155,5096485,5199567,5306156,5418781,5540924,5674218,5817747,5967669,6118768,6264240,6397725,6522616,6636682,6721814,6754613,6721222,6616914,6455394,6264833,6084137,5944606,5848191,5795549,5814025,5935894,6179834,6565830,7077976,7654502,8209493,8682442,9045349,9318737,9549610,9809032,10146537,10579486,11085644,11627724,12150738,12616326,13009758,13347319,13658877,13988678,14367633,14805967,15290267,15799312,16301421,16773704
Albania,780595,805308,830316,855239,880255,904825,928928,953602,981017,1009814,1035957,1061518,1088573,1114868,1141014,1167737,1193879,1220600,1246195,1271299,1297789,1324523,1353594,1383432,1413336,1442681,1469815,1497726,1525329,1568794,1603298,1604796,1610589,1617723,1621588,1618644,1607184,1588691,1566487,1545229,1528047,1511367,1508258,1506351,1503758,1498085,1488492,1475636,1462169,1451096,1444648,1443679,1446391,1450452,1454343,1456073,828205,854492,881003,907382,933880,959966,985645,1011996,1041255,1071881,1099522,1126335,1154553,1181884,1209110,1237094,1264647,1292946,1320071,1346533,1374208,1401533,1430684,1460528,1491093,1522081,1552820,1585879,1617007,1659149,1683244,1661994,1636450,1609564,1585948,1569140,1560849,1559590,1562043,1563549,1560980,1548806,1542752,1533265,1523181,1513402,1504055,1494381,1485145,1476423,1468373,1461101,1453856,1446200,1439311,1433094
Algeria,5527055,5668595,5813438,5963244,6120324,6286264,6462014,6646944,6839166,7035930,7235405,7437122,7642214,7852430,8070272,8297705,8534647,8780908,9038138,9308316,9592490,9891017,10202398,10523396,10849602,11177398,11504930,11831504,12155986,12477542,12795121,13108616,13416513,13714847,13998679,14264840,14512453,14743588,14961905,15172677,15380508,15586797,15792931,16003592,16224248,16459158,16709394,16975199,17258624,17561630,17884791,18229266,18592558,18966858,19341658,19708915,5597837,5736264,5876714,6021886,6175649,6340689,6518255,6707253,6905217,7108507,7314628,7522989,7734881,7951998,8176841,8411393,8655589,8909276,9174193,9452445,9745233,10052650,10373303,10704892,11044255,11388510,11736346,12086385,12435507,12780129,13117243,13445661,13764408,14071130,14363336,14639460,14899386,15144129,15374975,15593874,15803150,16003523,16197456,16391294,16592977,16808729,17039934,17286772,17552435,17840160,18151368,18487866,18846869,19219277,19592676,19957604
Angola,2687431,2736454,2786539,2837229,2887861,2938146,2987973,3038108,3090227,3146552,3208774,3277786,3353537,3435625,3523217,3615830,3712749,3814514,3923285,4041991,4172321,4316055,4471549,4632951,4792213,4943917,5085157,5218537,5350860,5491937,5648648,5824343,6016478,6219003,6422945,6622323,6814744,7003773,7196574,7403313,7631223,7882930,8156007,8446466,8748072,9056265,9369934,9690536,10019089,10357423,10706802,11067489,11438735,11819640,12208933,12605782,2583413,2630833,2679366,2728579,2777840,2826879,2875595,2924723,2975867,3031151,3092195,3159859,3234110,3314590,3400532,3491504,3586759,3686806,3793854,3910891,4039629,4181895,4335962,4495704,4652705,4801292,4938543,5067175,5194044,5329055,5479222,5647830,5832493,6027783,6225538,6420343,6610069,6798095,6991136,7198670,7427415,7679861,7953689,8244929,8547428,8856677,9171533,9493371,9823162,10162680,10513152,10874807,11246897,11628562,12018591,12416192
Antigua and Barbuda,28949,29399,29851,30317,30807,31329,31885,32467,33059,33636,34179,34681,35139,35539,35870,36119,36286,36371,36363,36256,36044,35736,35348,34895,34399,33884,33352,32827,32381,32105,32063,32271,32710,33366,34212,35215,36388,37705,39048,40262,41237,41920,42344,42602,42833,43138,43544,44020,44545,45076,45583,46065,46537,47001,47463,47929,25732,26004,26460,27051,27693,28324,28933,29535,30117,30671,31190,31657,32066,32433,32785,33134,33496,33852,34145,34297,34257,34014,33602,33063,32464,31860,31253,30657,30157,29862,29843,30141,30724,31502,32338,33134,33857,34527,35158,35779,36411,37052,37686,38302,38885,39427,39923,40377,40805,41224,41650,42087,42532,42984,43437,43889
Arab World,45888965,47146350,48447787,49794776,51189015,52631365,54128252,55679754,57273296,58891421,60524751,62164115,63822047,65537119,67361763,69332307,71462302,73737071,76129517,78598762,81113283,83665034,86257730,88885369,91543884,94229837,96935403,99656525,102398490,105170289,108953982,111843667,113900949,116916539,119914073,123540577,126418187,129278419,132104814,134937139,137790216,140660559,143555687,146514444,149586626,152805437,156190985,159728140,163376852,167065433,170746080,174402412,178047301,181704259,185411393,189194894,46607134,47890207,49215723,50585612,52002415,53468065,54989367,56567529,58192833,59851393,61536817,63239512,64972385,66778481,68715764,70823595,73119191,75584499,78179745,80846625,83541599,86251438,88984792,91746203,94547244,97395930,100283856,103202893,106161633,109172495,113241720,116426856,118629623,121925001,125150237,129206943,132171713,135044780,137856525,140714259,143682726,146766332,149962183,153317190,156885828,160698951,164784292,169112036,173588807,178071357,182458251,186714478,190859260,194919200,198944753,202973136
Argentina,10148068,10325498,10504134,10683295,10861893,11039449,11215454,11391087,11569575,11755217,11951005,12158166,12375603,12601066,12831139,13063208,13296651,13531869,13768479,14006281,14245109,14484327,14723642,14963678,15205406,15449378,15695671,15943542,16191720,16438496,16682537,16923559,17161585,17396006,17626205,17851866,18072581,18288722,18501759,18713724,18926131,19139695,19354197,19569093,19783420,19996580,20208231,20418920,20629960,20843136,21059599,21279847,21503116,21727725,21951299,22172053,10471007,10627581,10783548,10938550,11092033,11243940,11393293,11541114,11691698,11850775,12022057,12208276,12407347,12612322,12813366,13003767,13180502,13346698,13509263,13678249,13860780,14059039,14270347,14491061,14715501,14939403,15161571,15382931,15603795,15825063,16047203,16270361,16493564,16714906,16931909,17142952,17347102,17545243,17739819,17934330,18131322,18331840,18535246,18740382,18945358,19148911,19350519,19550983,19751900,19955505,20163276,20375769,20592108,20810579,21028727,21244702
Armenia,966337,999288,1032798,1066478,1099872,1132656,1164563,1195633,1226241,1256957,1288165,1319963,1352119,1384285,1415962,1446775,1476657,1505677,1533765,1560878,1587014,1611439,1634080,1656320,1680080,1706350,1736507,1769132,1799081,1819360,1825296,1814569,1789563,1756091,1722530,1694939,1675383,1662099,1652676,1643136,1630610,1615384,1598805,1580359,1559517,1536363,1509379,1479740,1453419,1438432,1440002,1461002,1498376,1544102,1586784,1618201,901059,934951,969372,1003949,1038261,1071994,1104912,1136991,1168394,1199413,1230243,1260931,1291345,1321299,1350533,1378875,1406174,1432504,1458189,1483686,1509284,1534446,1558797,1582892,1607508,1632797,1660004,1687922,1711358,1723360,1719399,1697343,1659934,1613582,1567413,1528234,1498042,1475553,1460282,1450684,1445488,1444652,1448444,1456061,1466465,1478554,1492782,1508377,1521610,1527676,1523494,1506982,1479963,1448090,1419370,1399511
Aruba,27634,28251,28657,28907,29088,29267,29453,29628,29804,29987,30180,30400,30647,30885,31063,31148,31116,30989,30835,30751,30802,31046,31456,31907,32225,32300,32053,31569,31100,30995,31492,32692,34483,36631,38789,40706,42294,43616,44757,45856,47012,48250,49510,50706,51716,52457,52895,53076,53094,53088,53159,53340,53605,53923,54240,54514,26574,27184,27569,27790,27941,28093,28259,28421,28581,28737,28885,29038,29202,29354,29462,29507,29473,29377,29271,29227,29294,29521,29888,30297,30606,30728,30591,30266,29977,30037,30656,31931,33752,35867,37911,39620,40901,41831,42519,43148,43846,44644,45485,46309,47026,47574,47935,48142,48248,48328,48438,48596,48788,48998,49201,49375
Australia,5084520,5189981,5321758,5428385,5539301,5651832,5784715,5860056,5965983,6093946,6217405,6433810,6556166,6660725,6835876,6925860,7002048,7088665,7178887,7263044,7356340,7475956,7601699,7696260,7782808,7889712,8020767,8145050,8281532,8425805,8555070,8669439,8780712,8872212,8970118,9080007,9197805,9296320,9387372,9489347,9599003,9727463,9846898,9969868,10085944,10217801,10365156,10423970,10628375,10844354,11011443,11165408,11361623,11559792,11735418,11903364,5191957,5293019,5420242,5521615,5627699,5736168,5866285,5938944,6043017,6169054,6289595,6503190,6620834,6719275,6887124,6967140,7030952,7103335,7179113,7250956,7335660,7451044,7576301,7672740,7761192,7868288,7997633,8118850,8250668,8388595,8510030,8614561,8714288,8794788,8884882,8991993,9113195,9220680,9323628,9436653,9553997,9685537,9804502,9925532,10041456,10176999,10332744,10403630,10620825,10847346,11020307,11174616,11366631,11557561,11725276,11886388
